profiling	/ˈpɹəʊ/|/faɪ/|/lɪŋ/
profile	/ˈpɹəʊ/|/faɪl/
literally	/ˈlɪt/|/ə/|/ɹə/|/li/
curious	/ˈkjʊɹ/|/ɪ/|/əs/
serious	/ˈsiə/|/ɹɪ/|/əs/
idea	/aɪ/|/ˈdi/|/ə/
various	/ˈveə/|/ɹɪ/|/əs/
previous	/ˈpɹiː/|/vɪ/|/əs/
obvious	/ˈɒb/|/vɪ/|/əs/
quiet	/ˈkwaɪ/|/ət/
here	/ˈhiə/
going	/ˈɡəʊ/|/ɪŋ/
through	/ˈθɹuː/
comfortable	/ˈkʌmf/|/tə/|/bəl/
chocolate	/ˈtʃɒk/|/lət/
education	/ˌɛdʒ/|/uː/|/ˈkeɪ/|/ʃən/
necessary	/ˈnɛs/|/ə/|/sə/|/ɹi/
winter	/ˈwɪn/|/tɐ/
city	/ˈsɪt/|/i/
happy	/ˈhæp/|/i/
sofa	/ˈsəʊ/|/fɐ/
money	/ˈmʌn/|/i/
never	/ˈnɛv/|/ɐ/
problem	/ˈpɹɒb/|/ləm/
secondary	/ˈsɛk/|/ən/|/də/|/ɹi/
different	/ˈdɪf/|/ɹənt/
difficult	/ˈdɪf/|/ɪk/|/əlt/
important	/ɪm/|/ˈpɔː/|/tənt/
possible	/ˈpɒs/|/ə/|/bəl/
family	/ˈfæm/|/ɪl/|/i/
business	/ˈbɪz/|/nəs/
remember	/ɹɪm/|/ˈɛm/|/bɐ/
information	/ˌɪn/|/fə/|/ˈmeɪ/|/ʃən/
economics	/ˌiː/|/kə/|/ˈnɒm/|/ɪks/
understand	/ˌʌn/|/də/|/ˈstænd/
beautiful	/ˈbjuː/|/tɪf/|/əl/
every	/ˈɛv/|/ɹi/
interest	/ˈɪn/|/tɹəst/
general	/ˈdʒɛn/|/ə/|/ɹəl/
usually	/ˈjuː/|/ʒuː/|/ə/|/li/
actually	/ˈæk/|/tʃuː/|/ə/|/li/
strength	/ˈstɹɛŋθ/
world	/ˈwɜːld/
sign	/ˈsaɪn/
kettle	/ˈkɛt/|/əl/
button	/ˈbʌt/|/ən/
little	/ˈlɪt/|/əl/
monster	/ˈmɒn/|/stɐ/
table	/ˈteɪ/|/bəl/
photograph	/ˈfəʊ/|/tə/|/ˌɡɹæf/
photography	/fə/|/ˈtɒɡ/|/ɹə/|/ˌfi/
infusing	/ɪn/|/ˈfjuː/|/zɪŋ/
censorship	/ˈsɛn/|/sə/|/ˌʃɪp/
fundamentals	/ˌfʌn/|/də/|/ˈmɛn/|/təlz/
communicating	/kə/|/ˈmjuː/|/nɪk/|/ˌeɪ/|/tɪŋ/
stunned	/ˈstʌnd/
spreads	/ˈspɹɛdz/
bombshell	/ˈbɒm/|/ʃɛl/
review	/ˌɹi/|/ˈvju/
